seed	boss	split	outcome	turns_played	actions_played	fallback_actions	entry_hp	player_hp	player_hp_delta	entry_encounter_hp	encounter_hp_remaining	encounter_hp_removed	score_kind	score	final_screen	last_action	monsters_hp_remaining
3575797841332321150	DonuAndDeca	train	win	13	81	0	99	28	-71	494	0	494	player_hp_delta	-71	Terminal	{"index":0,"op":"choose"}	-
8994553749226938774	DonuAndDeca	train	loss	8	49	0	89	0	-89	500	221	279	monster_hp_delta	279	Terminal	{"op":"end_turn"}	Deca:182/250,Donu:39/250
4877033296021424441	DonuAndDeca	train	loss	9	49	0	82	0	-82	500	259	241	monster_hp_delta	241	Terminal	{"op":"end_turn"}	Deca:227/250,Donu:32/250
5157688114572272905	AwakenedOne	train	loss	11	72	0	75	0	-75	702	56	646	monster_hp_delta	646	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:56/300
1791847072627334439	TimeEater	train	loss	13	74	0	80	0	-80	456	157	299	monster_hp_delta	299	Terminal	{"hand_index":1,"op":"play"}	TimeEater:157/456
3196368224264100068	DonuAndDeca	train	win	8	59	0	75	65	-10	500	0	500	player_hp_delta	-10	Terminal	{"index":0,"op":"choose"}	-
1489316484494972907	DonuAndDeca	train	win	7	64	0	71	52	-19	500	0	500	player_hp_delta	-19	Terminal	{"index":0,"op":"choose"}	-
6183481737428748839	AwakenedOne	train	loss	19	110	0	62	0	-62	698	102	596	monster_hp_delta	596	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:102/300
7416601089082899303	DonuAndDeca	train	loss	9	61	0	66	0	-66	500	282	218	monster_hp_delta	218	Terminal	{"op":"end_turn"}	Deca:178/250,Donu:104/250
5623755035565451516	AwakenedOne	train	loss	21	114	0	94	0	-94	695	102	593	monster_hp_delta	593	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:102/300
1193752383130656283	AwakenedOne	train	win	9	69	0	52	28	-24	694	0	694	player_hp_delta	-24	Terminal	{"index":0,"op":"choose"}	-
7992747914631905508	DonuAndDeca	train	win	6	52	0	75	7	-68	500	0	500	player_hp_delta	-68	Terminal	{"index":0,"op":"choose"}	-
3061883885370602060	TimeEater	train	win	16	74	0	63	12	-51	456	0	456	player_hp_delta	-51	Terminal	{"index":0,"op":"choose"}	-
6481148338842073474	DonuAndDeca	train	win	14	96	0	75	16	-59	500	0	500	player_hp_delta	-59	Terminal	{"index":0,"op":"choose"}	-
7175349558613037921	DonuAndDeca	train	win	11	75	0	75	16	-59	500	0	500	player_hp_delta	-59	Terminal	{"index":0,"op":"choose"}	-
1660962350770321836	AwakenedOne	train	loss	15	99	0	77	0	-77	703	176	527	monster_hp_delta	527	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:176/300
6874331202128839979	AwakenedOne	train	loss	16	87	0	66	0	-66	703	537	166	monster_hp_delta	166	Terminal	{"op":"end_turn"}	AwakenedOne:phase_1:237/300,AwakenedOne:phase_2_latent:300/300
1080088525296987545	TimeEater	train	loss	11	57	0	76	0	-76	456	99	357	monster_hp_delta	357	Terminal	{"hand_index":1,"op":"play"}	TimeEater:99/456
2761504180787905848	TimeEater	train	win	13	69	0	77	60	-17	456	0	456	player_hp_delta	-17	Terminal	{"index":0,"op":"choose"}	-
6750838212784025915	TimeEater	train	win	11	62	0	52	21	-31	456	0	456	player_hp_delta	-31	Terminal	{"index":0,"op":"choose"}	-
9029249345114443286	TimeEater	train	loss	14	69	0	72	0	-72	456	194	262	monster_hp_delta	262	Terminal	{"op":"end_turn"}	TimeEater:194/456
5818932732441005714	TimeEater	train	win	19	91	0	71	3	-68	456	0	456	player_hp_delta	-68	Terminal	{"index":0,"op":"choose"}	-
835542457075239167	AwakenedOne	val	loss	9	65	0	59	0	-59	701	406	295	monster_hp_delta	295	Terminal	{"op":"end_turn"}	AwakenedOne:phase_1:106/300,AwakenedOne:phase_2_latent:300/300
8722318704258252439	TimeEater	train	loss	11	57	0	71	0	-71	456	77	379	monster_hp_delta	379	Terminal	{"op":"end_turn"}	TimeEater:77/456
3965456939340024074	AwakenedOne	train	loss	9	69	0	75	0	-75	700	250	450	monster_hp_delta	450	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:250/300
2197148552076074636	TimeEater	test	win	13	72	0	49	7	-42	456	0	456	player_hp_delta	-42	Terminal	{"index":0,"op":"choose"}	-
4943219564164449355	AwakenedOne	train	loss	11	70	0	94	0	-94	702	340	362	monster_hp_delta	362	Terminal	{"op":"end_turn"}	AwakenedOne:phase_1:40/300,AwakenedOne:phase_2_latent:300/300
6899102778022083926	DonuAndDeca	train	win	6	45	0	71	27	-44	500	0	500	player_hp_delta	-44	Terminal	{"index":0,"op":"choose"}	-
6018874024552207049	AwakenedOne	train	win	19	125	0	71	71	0	703	0	703	player_hp_delta	0	Terminal	{"index":0,"op":"choose"}	-
4251204140209120246	AwakenedOne	val	loss	28	163	0	74	0	-74	702	198	504	monster_hp_delta	504	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:198/300
2305696828255063566	AwakenedOne	train	win	15	107	0	94	29	-65	701	0	701	player_hp_delta	-65	Terminal	{"index":0,"op":"choose"}	-
5693720419602668079	AwakenedOne	train	loss	13	75	0	73	0	-73	708	245	463	monster_hp_delta	463	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:245/300
3222600450284515355	DonuAndDeca	train	win	5	40	0	61	15	-46	500	0	500	player_hp_delta	-46	Terminal	{"index":0,"op":"choose"}	-
2359603027456344412	AwakenedOne	train	win	16	112	0	75	14	-61	690	0	690	player_hp_delta	-61	Terminal	{"index":0,"op":"choose"}	-
8177363424378289513	TimeEater	test	loss	7	40	0	75	0	-75	456	159	297	monster_hp_delta	297	Terminal	{"hand_index":5,"op":"play"}	TimeEater:159/456
4731779542319227954	AwakenedOne	train	loss	14	88	0	70	0	-70	705	114	591	monster_hp_delta	591	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:114/300
7745624774176530184	DonuAndDeca	train	win	9	72	0	94	50	-44	500	0	500	player_hp_delta	-44	Terminal	{"index":0,"op":"choose"}	-
1697746019005784101	TimeEater	train	loss	8	40	0	50	0	-50	456	186	270	monster_hp_delta	270	Terminal	{"op":"end_turn"}	TimeEater:186/456
