rank	seed	outcome	floor_achieved	monsters_with_hp_remaining
1	103370126172143121	win	52	-
2	230205685389253025	win	52	-
3	942225237321105575	win	52	-
4	1121585043701237685	win	52	-
5	1321552278817921673	win	52	-
6	1735301527910401767	win	52	-
7	1857719969415944987	win	52	-
8	1860704371272690073	win	52	-
9	2080455518961488823	win	52	-
10	2542939415964468770	win	52	-
11	2830200858014580570	win	52	-
12	2842918573452451783	win	52	-
13	2993417937302796962	win	52	-
14	3011191604278382316	win	52	-
15	3028794121215817607	win	52	-
16	3068611855464198793	win	52	-
17	3196859007654102213	win	52	-
18	3212293826224653136	win	52	-
19	3267761259694884524	win	52	-
20	3341583200811785411	win	52	-
21	3607035994371721464	win	52	-
22	3720729577894713055	win	52	-
23	3880322896538813950	win	52	-
24	3935190643263927066	win	52	-
25	3942167574296871669	win	52	-
26	3942760150486912958	win	52	-
27	3957596870346129989	win	52	-
28	4591896063390001895	win	52	-
29	4617091303947085219	win	52	-
30	4876143634422848363	win	52	-
31	4922132718477930671	win	52	-
32	5053207210280065480	win	52	-
33	5079605255906944374	win	52	-
34	5088120420342532224	win	52	-
35	5148255199282236219	win	52	-
36	5265232212702591489	win	52	-
37	5301363085605694568	win	52	-
38	5487130713747975182	win	52	-
39	5563454408500258716	win	52	-
40	5830886310063920028	win	52	-
41	6070261709957053563	win	52	-
42	6427341463514079441	win	52	-
43	6513737948687819690	win	52	-
44	6837103071330196508	win	52	-
45	6863595187725225069	win	52	-
46	6970974244723945187	win	52	-
47	7017106511504338794	win	52	-
48	7100568157108894117	win	52	-
49	7263111713694576598	win	52	-
50	7600946851761129169	win	52	-
51	8137354301592268307	win	52	-
52	8353290706196151941	win	52	-
53	8456657823394314255	win	52	-
54	8918370117494658431	win	52	-
55	9126872888120613841	win	52	-
56	9208891864274211642	win	52	-
57	34572897701862569	loss	51	Deca=134/265,Donu=129/265
58	37200418134903311	loss	51	TimeEater=407/480
59	43000638038860250	loss	51	Deca=198/265,Donu=189/265
60	58428316620578199	loss	51	TimeEater=296/480
61	59751451068461075	loss	51	AwakenedOne=229/320
62	97165561373652886	loss	51	TimeEater=273/480
63	132835542313674650	loss	51	TimeEater=342/480
64	148280510381371070	loss	51	TimeEater=418/480
65	217558751499744442	loss	51	TimeEater=320/480
66	223192313096278580	loss	51	TimeEater=240/480
67	235598062625891581	loss	51	Cultist=2/50,AwakenedOne=282/320
68	275035778750439627	loss	51	TimeEater=219/480
69	293608284210426015	loss	51	AwakenedOne=179/320
70	333104818236385792	loss	51	Cultist=31/50,Cultist=54/54,AwakenedOne=320/320
71	350329766169093864	loss	51	AwakenedOne=45/320
72	418981099478718018	loss	51	Cultist=47/55,Cultist=43/51,AwakenedOne=304/320
73	426441463943613460	loss	51	Cultist=9/53,Cultist=20/50,AwakenedOne=298/320
74	541373060224951246	loss	51	AwakenedOne=96/320
75	567238832959883860	loss	51	AwakenedOne=149/320
76	578332388406883523	loss	51	TimeEater=438/480
77	580906855668141852	loss	51	TimeEater=419/480
78	617045627189599658	loss	51	TimeEater=240/480
79	642958328088476228	loss	51	TimeEater=243/480
80	648016307478268847	loss	51	TimeEater=101/480
81	660306794282608369	loss	51	TimeEater=402/480
82	715985737163968477	loss	51	Cultist=51/51,AwakenedOne=315/320
83	717722757538001022	loss	51	AwakenedOne=85/320
84	720008194826430046	loss	51	TimeEater=366/480
85	747599370615703554	loss	51	TimeEater=402/480
86	773044708717249631	loss	51	AwakenedOne=255/320
87	780587508963515958	loss	51	AwakenedOne=245/320
88	805186657566183352	loss	51	Cultist=18/53,AwakenedOne=288/320
89	819222306796394130	loss	51	TimeEater=243/480
90	832895001385022259	loss	51	Cultist=7/52,Cultist=33/53,AwakenedOne=320/320
91	884014265978565686	loss	51	Deca=227/265,Donu=166/265
92	894477423974131014	loss	51	Cultist=1/54,Cultist=30/55,AwakenedOne=288/320
93	997851234590753118	loss	51	Deca=196/265,Donu=137/265
94	1017283716483987466	loss	51	TimeEater=414/480
95	1040704412331036510	loss	51	Deca=129/265,Donu=44/265
96	1095049704398090213	loss	51	TimeEater=461/480
97	1152457617847679071	loss	51	Deca=170/265,Donu=109/265
98	1209827426600431780	loss	51	AwakenedOne=170/320
99	1237095907633238208	loss	51	TimeEater=105/480
100	1289472227506709345	loss	51	Deca=249/265,Donu=254/265
